trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 10000.0}",25,0,-128.1352370807597,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 2500.0}",25,0,-142.4651600778873,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1111.111111111111}",20,5,-39.29918896827389,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.5, 'e': 625.0}",20,0,-16.223326379412743,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 399.99999999999994}",25,12,-43.78092783244904,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 277.77777777777777}",25,0,-181.17014127861484,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 204.0816326530612}",20,0,-131.11762918476154,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 156.25}",20,0,-73.62243939617188,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 123.4567901234568}",30,0,-247.24488208423645,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 99.99999999999999}",25,0,-180.1693664062682,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 82.64462809917356}",20,14,10.538811764165276,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 69.44444444444444}",25,0,-142.37602097435374,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 59.17159763313609}",20,0,-65.99173439113434,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 51.0204081632653}",25,0,-25.075318564601584,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 44.44444444444444}",25,0,-53.94118864204731,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 39.0625}",20,0,-176.17852576210976,"{0: 6, 1: 3, 2: 7, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 34.60207612456747}",25,2,-82.52158767571854,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 30.8641975308642}",25,0,-105.81988446114994,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 27.700831024930746}",25,0,-54.94931932254583,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 24.999999999999996}",25,0,-193.2771185016997,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
21,False,"{'a': 0.5, 'e': 22.67573696145125}",20,0,-121.03686834998123,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 20.66115702479339}",25,0,-135.11455048885767,"{0: 10, 1: 3, 2: 11, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 18.90359168241966}",20,0,-67.98801111422381,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 17.36111111111111}",25,0,-141.47459946307592,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
25,False,"{'a': 0.5, 'e': 16.0}",25,0,-20.42813874224011,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 14.792899408284022}",25,0,-76.44975884590943,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
27,False,"{'a': 0.5, 'e': 13.717421124828531}",30,0,-103.7655714537459,"{0: 14, 1: 10, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 12.755102040816325}",30,0,-102.58817211622005,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.5, 'e': 11.890606420927469}",35,0,-111.38134445999096,"{0: 24, 1: 1, 2: 9, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 11.11111111111111}",20,12,-43.661044168630156,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 10.40582726326743}",25,0,-241.59435663813073,"{0: 10, 1: 6, 2: 4, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 9.765625}",20,0,-139.1126698555653,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 9.182736455463727}",30,0,-155.6739298173311,"{0: 15, 1: 2, 2: 10, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 8.650519031141867}",25,0,-112.08898771957142,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 8.163265306122447}",20,0,-88.24737730552405,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 7.71604938271605}",20,0,-67.89142767069018,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 7.304601899196494}",30,0,-260.27710409467204,"{0: 15, 1: 0, 2: 10, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 6.925207756232687}",25,0,-77.23182689414935,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 6.574621959237343}",30,0,-54.27266759590279,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
40,False,"{'a': 0.5, 'e': 6.249999999999999}",20,0,-117.61740307150323,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 5.948839976204639}",30,0,-218.01280138836086,"{0: 14, 1: 5, 2: 5, 3: 4, 4: 2}",0
42,False,"{'a': 0.5, 'e': 5.6689342403628125}",25,0,-85.1715615509444,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 5.408328826392645}",20,0,1.705110622013843,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 5.1652892561983474}",25,0,-211.4346474212506,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
45,False,"{'a': 0.5, 'e': 4.938271604938271}",20,0,-64.77028245483156,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 4.725897920604915}",25,0,-127.69272079209786,"{0: 10, 1: 8, 2: 5, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 4.526935264825712}",20,0,-49.50315120747,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 4.340277777777778}",25,0,-168.66748234414754,"{0: 11, 1: 4, 2: 6, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 4.164931278633903}",20,4,-71.25626534176553,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 4.0}",20,0,-65.10023805354463,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 3.8446751249519417}",25,0,-314.5295136843805,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 5}",0
52,False,"{'a': 0.5, 'e': 3.6982248520710055}",25,0,-135.83696436371378,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 3.5599857600569593}",20,12,-36.887605568351574,"{0: 4, 1: 1, 2: 2, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 3.429355281207133}",20,0,-48.05819802822297,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 3.305785123966942}",20,0,-110.39633725301096,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 3.1887755102040813}",25,0,-85.29320352680938,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 3.0778701138811937}",30,0,-209.3386922194314,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
58,False,"{'a': 0.5, 'e': 2.9726516052318672}",20,0,-244.68011746006113,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 4}",0
59,False,"{'a': 0.5, 'e': 2.8727377190462513}",25,0,-49.496104533467005,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
60,False,"{'a': 0.5, 'e': 2.7777777777777777}",30,0,-134.1982849851773,"{0: 18, 1: 6, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 2.6874496103198067}",20,7,-20.26872120243693,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 2.6014568158168574}",20,0,-164.7237426981298,"{0: 7, 1: 3, 2: 7, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 2.519526329050138}",20,0,-178.31308397502278,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",0
64,False,"{'a': 0.5, 'e': 2.44140625}",25,0,-47.71379266638666,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
65,False,"{'a': 0.5, 'e': 2.3668639053254434}",20,0,-103.30934699747858,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 2.295684113865932}",20,0,-95.22856650934325,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 2.227667631989307}",25,0,-186.36966124082977,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 2.1626297577854667}",25,0,-215.13921273081905,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
69,False,"{'a': 0.5, 'e': 2.100399075824406}",20,0,-198.71198906869753,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
70,False,"{'a': 0.5, 'e': 2.040816326530612}",20,0,-85.75072118298088,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.5, 'e': 1.9837333862328903}",20,0,-69.839037461704,"{0: 14, 1: 2, 2: 0, 3: 4, 4: 0}",0
72,False,"{'a': 0.5, 'e': 1.9290123456790125}",25,0,-73.31265283667653,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 1.8765246762994936}",20,0,-67.4999822758486,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 1.8261504747991235}",25,0,-78.04747217870334,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 1.7777777777777777}",25,0,-57.11174920949982,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
76,False,"{'a': 0.5, 'e': 1.7313019390581716}",30,2,-111.7256420896839,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 1.6866250632484399}",25,0,-253.27935815054826,"{0: 9, 1: 5, 2: 6, 3: 1, 4: 4}",0
78,False,"{'a': 0.5, 'e': 1.6436554898093358}",25,0,-187.177085002213,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
79,False,"{'a': 0.5, 'e': 1.6023073225444637}",25,0,-41.011652576426435,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 1.5624999999999998}",20,0,-132.2902854158584,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
81,False,"{'a': 0.5, 'e': 1.5241579027587255}",25,0,-81.63366781864411,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 1.4872099940511598}",20,0,-99.93802724005242,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 1.4515894904920887}",20,0,-128.98758216241848,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 1.4172335600907031}",20,0,-205.77783714560707,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
85,False,"{'a': 0.5, 'e': 1.384083044982699}",30,0,-177.2550367875708,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 1.3520822065981613}",20,15,3.1462571805916073,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 1.321178491214163}",20,0,-64.65732262461661,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 1.2913223140495869}",30,15,-41.96199498558214,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
89,False,"{'a': 0.5, 'e': 1.2624668602449185}",25,0,-52.94184508860113,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 1.2345679012345678}",20,0,-191.24630167349534,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
91,False,"{'a': 0.5, 'e': 1.2075836251660426}",25,0,-93.89571986019924,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 1.1814744801512287}",25,0,-92.34380671827441,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 1.1562030292519365}",25,0,-129.88903982628383,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
94,False,"{'a': 0.5, 'e': 1.131733816206428}",30,0,-81.74643179012888,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 1.1080332409972298}",20,0,-176.4119054116811,"{0: 10, 1: 1, 2: 4, 3: 3, 4: 2}",0
96,False,"{'a': 0.5, 'e': 1.0850694444444444}",25,0,-127.64213381205423,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
97,False,"{'a': 0.5, 'e': 1.0628122010840686}",30,0,-90.24298212660932,"{0: 20, 1: 0, 2: 9, 3: 1, 4: 0}",0
98,False,"{'a': 0.5, 'e': 1.0412328196584757}",20,10,-49.958060882106295,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 1.0203040506070808}",20,0,-119.65173118250834,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.52951914468204,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.9802960494069208}",35,12,-203.24661117140107,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 3}",1
102,False,"{'a': 0.5, 'e': 0.9611687812379854}",25,0,-156.23185579353643,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
103,False,"{'a': 0.5, 'e': 0.9425959091337544}",25,0,-143.21949753436357,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9245562130177514}",25,0,-289.9983411807189,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 5}",0
105,False,"{'a': 0.5, 'e': 0.9070294784580498}",30,0,-209.58073556370402,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
106,False,"{'a': 0.5, 'e': 0.8899964400142398}",25,0,-54.9419006306409,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.8734387282732116}",20,0,-68.97885386420957,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8573388203017832}",25,4,-24.460412535813738,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.84167999326656}",25,0,-74.50294260064679,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.8264462809917354}",25,7,-86.90830043092785,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.8116224332440547}",20,0,-69.62997969933856,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.7971938775510203}",25,0,-143.73511467919505,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.7831466833737957}",25,0,-88.29789805753973,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.7694675284702984}",20,0,-118.98261218881926,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
115,False,"{'a': 0.5, 'e': 0.7561436672967863}",30,0,-106.95977062916127,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
116,False,"{'a': 0.5, 'e': 0.7431629013079668}",20,0,-75.27354480758834,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.7305135510263716}",20,0,-54.89644785715894,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.7181844297615628}",20,0,-53.02960436906274,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.706164818868724}",25,9,-31.44184929146782,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.6944444444444444}",30,13,-113.90928301562728,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 2}",1
121,False,"{'a': 0.5, 'e': 0.6830134553650707}",30,8,-26.650774619216378,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.6718624025799517}",20,0,-132.52436145978947,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.6609822195782934}",25,2,-81.1964286611505,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 1}",1
124,False,"{'a': 0.5, 'e': 0.6503642039542143}",20,0,-69.81728892967116,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.64}",30,19,-3.858672100602889,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.6298815822625345}",30,0,-23.29037107409568,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.62000124000248}",30,0,-114.02903087225381,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",1
128,False,"{'a': 0.5, 'e': 0.6103515625}",20,0,13.979592184181023,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.6009254251547382}",25,0,-95.48669652531618,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.5917159763313609}",30,7,-61.25461619794885,"{0: 19, 1: 0, 2: 1, 3: 2, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.5827166249053085}",30,8,-65.52592273670282,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.573921028466483}",25,7,23.98644816333559,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.5653230821414438}",20,12,12.350769901412832,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5569169079973267}",20,0,-7.452634832514461,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.5486968449931412}",25,0,-66.22185180069116,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.5406574394463667}",25,0,-66.43195389425671,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.5327934359848686}",20,7,-46.90035650482653,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.5250997689561016}",20,0,-22.554379379375817,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.5175715542673773}",20,4,-39.331313331812595,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.510204081632653}",30,13,-50.456153804943646,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.5029928072028571}",20,8,-61.25413881887262,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.4959333465582226}",25,10,-63.19927747812923,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
143,False,"{'a': 0.5, 'e': 0.4890214680424471}",25,0,-84.77061372459151,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.4822530864197531}",20,11,10.779948935668447,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.4756242568370987}",20,5,-14.501617969372722,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.4691311690748734}",20,0,-88.00615335203264,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.46277014207043365}",25,0,33.18429004845781,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.4565376186997809}",20,10,-5.879909736976523,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
