trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.77343677206122,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.17847942016923,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-149.46043756864051,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.0754486806702,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.59044412948916,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.0976978088235,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.73874249853503,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.78518896580019,"{0: 10, 1: 3, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.39263833236254,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.5588046465168,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.49179146049394,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.18823342274942,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.67015261400392,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.10887690587448,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.59051060168175,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.94741399778698,"{0: 11, 1: 1, 2: 6, 3: 5, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.1058771553223,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-184.3664114517279,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,18,-8.58881805142451,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.9847636995102,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-152.78007702440385,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-229.25174389993734,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-37.7152981551573,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.52330066496586,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-107.24787850245811,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.44996687009332,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.78792272672149,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-231.91182483022646,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.93305922080549,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.55128018731415,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
